Title,Conference,Synthetic_Labels
Innovation in Database Management: Computer Science vs. Engineering.,VLDB,VLDB
High performance prime field multiplication for GPU.,ISCAS,ISCAS
enchanted scissors: a scissor interface for support in cutting and interactive fabrication.,SIGGRAPH,SIGGRAPH
Detection of channel degradation attack by Intermediary Node in Linear Networks.,INFOCOM,INFOCOM
Pinning a Complex Network through the Betweenness Centrality Strategy.,ISCAS,VLDB
Analysis and Design of Memoryless Interconnect Encoding Scheme.,ISCAS,ISCAS
Dynamic bluescreens.,SIGGRAPH,SIGGRAPH
A Quantitative Assured Forwarding Service.,INFOCOM,INFOCOM
Automatic sanitization of social network data to prevent inference attacks.,WWW,WWW
A &#916;&#931; IR-UWB radar with sub-mm ranging capability for human body monitoring systems.,ISCAS,ISCAS
Architecture of a multi-slot main memory system for 3.2 Gbps operation.,ISCAS,ISCAS
Rule-based Service Customization via Houdini.,WWW,SIGGRAPH
Business Policy Modeling and Enforcement in Databases.,VLDB,VLDB
A high speed and high linearity OTA in 1-V power supply voltage.,ISCAS,ISCAS
PREDIcT: Towards Predicting the Runtime of Large Scale Iterative Analytics.,VLDB,VLDB
SocialSensor: sensing user generated input for improved media discovery and experience.,WWW,WWW
Parametric keyframe interpolation incorporating kinetic adjustment and phrasing control.,SIGGRAPH,SIGGRAPH
An Explanation for Unexpected 802.11 Outdoor Link-level Measurement Results.,INFOCOM,INFOCOM
Hot Block Clustering for Disk Arrays with Dynamic Striping.,VLDB,VLDB
Analysis of propagation delay in 3 - D stacked DRAM.,ISCAS,ISCAS
ISHair: importance sampling for hair scattering.,SIGGRAPH,SIGGRAPH
Green Wave: Latency and Capacity-Efficient Sleep Scheduling for Wireless Networks.,INFOCOM,INFOCOM
Exploiting innocuous activity for correlating users across sites.,WWW,WWW
Optimized numerical mapping scheme for filter-based exon location in DNA using a quasi-Newton algorithm.,ISCAS,ISCAS
Nyquist criterion based design of continuous time Sigma Delta modulators.,ISCAS,ISCAS
Fast Transient Simulation of Lossy Transmission Lines.,ISCAS,VLDB
Image sensor with focal plane polarization sensitivity.,ISCAS,SIGGRAPH
Power-oriented delay budgeting for combinational circuits.,ISCAS,ISCAS
Sensor Network Navigation without Locations.,INFOCOM,INFOCOM
Simplified logic design methodology for fuzzy membership function based robust detection of maternal modulus maxima location: A low complexity Fetal ECG extraction architecture for mobile health monitoring systems.,ISCAS,ISCAS
E-V: Efficient visual surveillance with electronic footprints.,INFOCOM,SIGGRAPH
Analysis of Price Competition in a Slotted Resource Allocation Game.,INFOCOM,INFOCOM
A language for shading and lighting calculations.,SIGGRAPH,SIGGRAPH
Integration of Streaming and Elastic Traffic in Wireless Networks.,INFOCOM,INFOCOM
MATE: MPLS Adaptive Traffic Engineering.,INFOCOM,INFOCOM
Surround-screen projection-based virtual reality: the design and implementation of the CAVE.,SIGGRAPH,SIGGRAPH
Output Characteristics of Class E Amplifier With Nonlinear Shunt Capacitance Versus Supply Voltage.,ISCAS,ISCAS
Predicting reflectance functions from complex surfaces.,SIGGRAPH,SIGGRAPH
ActionView: a Movement-analysis Ambulatory Monitor in Elderly Homecare Systems.,ISCAS,INFOCOM
Live demonstration: Packet-based AER with 3Gevent/s cumulative throughput.,ISCAS,INFOCOM
Adaptive electricity scheduling in microgrids.,INFOCOM,ISCAS
Design of a 64-bit Low-energy High-performance Adder using Dynamic Feedthrough Logic.,ISCAS,ISCAS
Minimax Design of IIR Digital Filters using SDP Relaxation Technique.,ISCAS,VLDB
Propagation and Reflection of Phase Differences on a Lattice of Coupled Oscillators.,ISCAS,ISCAS
Query Optimization in the Presence of Foreign Functions.,VLDB,VLDB
Parallelizing query optimization.,VLDB,VLDB
Optimizing the Topology of Bluetooth Wireless Personal Area Networks.,INFOCOM,ISCAS
A Scalable Algorithm for Maximizing Range Sum in Spatial Databases.,VLDB,VLDB
Coexistence and Transformation of Data.,VLDB,VLDB
Power transfer networks at RF frequencies: new design procedures with implementation roadmap.,ISCAS,ISCAS
A distributed amplifier based dispersive delay line.,ISCAS,ISCAS
High-speed front end for LED-Photodiode based fluorescence lifetime measurement system.,ISCAS,ISCAS
Simple sybil-proof mechanisms for multi-level marketing.,INFOCOM,INFOCOM
Rants: a framework for rank editing and sharing in web search.,WWW,WWW
Mobile search pattern evolution: the trend and the impact of voice queries.,WWW,WWW
Data summaries for on-demand queries over linked data.,WWW,VLDB
Compressive sampling of EMG bio-signals.,ISCAS,ISCAS
Anthropocentric Data Systems.,VLDB,VLDB
Estimating clustering coefficients and size of social networks via random walk.,WWW,VLDB
CALMS: Cloud-assisted live media streaming for globalized demands with time/region diversities.,INFOCOM,INFOCOM
Quadrature generation techniques for frequency multiplication based oscillators.,ISCAS,ISCAS
Topology design for fast convergence of network consensus algorithms.,ISCAS,INFOCOM
Analysis of power supply gain of CMOS bandgap references.,ISCAS,ISCAS
A Scalable Method for Access Control in Location-Based Broadcast Services.,INFOCOM,INFOCOM
A novel Fisher discriminant for biometrics recognition: 2DPCA plus 2DFLD.,ISCAS,ISCAS
A framework for benchmarking entity-annotation systems.,WWW,VLDB
A physically based approach to 2-D shape blending.,SIGGRAPH,SIGGRAPH
Effects of the recession on public mood in the UK.,WWW,WWW
GIO: a semantic web application using the information grid framework.,WWW,WWW
Maximum likelihood disjunctive decomposition to reduced multirooted DAG for FIR filter design.,ISCAS,ISCAS
SocioCrowd: a social-network-based framework for crowd simulation.,SIGGRAPH,SIGGRAPH
A MATLAB based optimum multiband FIR filters design program following the original idea of the Remez multiple exchange algorithm.,ISCAS,ISCAS
Touchy.Internet: a cybernetics system for human-pet interaction through the Internet.,SIGGRAPH,WWW
Social status and role analysis of palin's email network.,WWW,SIGGRAPH
A fast hash tree generator for Merkle signature scheme.,ISCAS,ISCAS
GPU Powered Artificial Immune System for Visual Applications.,ISCAS,SIGGRAPH
Linear combination of transformations.,SIGGRAPH,SIGGRAPH
10GBase-LX4 Limiting Amplifier in 0.18 &micro;m CMOS Digital Process with Tunable Shunt-peaking.,ISCAS,ISCAS
Randomization tests for distinguishing social influence and homophily effects.,WWW,WWW
Pricing algorithms for the day-ahead electricity market with flexible consumer participation.,INFOCOM,INFOCOM
"WS-CatalogNet: An Infrastructure for Creating, Peering, and Querying e-Catalog Communities.",VLDB,WWW
Intelligent ad resizing.,WWW,SIGGRAPH
A 4-Kb low power 4-T SRAM design with negative word-line gate drive.,ISCAS,ISCAS
A memory-efficient continuous-flow FFT processor for Wimax application.,ISCAS,SIGGRAPH
Statistical Multiplexing Over DSL Networks.,INFOCOM,INFOCOM
A Novel Quantitative Approach For Measuring Network Security.,INFOCOM,INFOCOM
Comparative analysis of contrast enhancement algorithms in surveillance imaging.,ISCAS,SIGGRAPH
Fast video coding based on Gaussian model of DCT coefficients.,ISCAS,SIGGRAPH
Non-linear aperture for stylized depth of field.,SIGGRAPH,SIGGRAPH
"MegaMind: fire, smoke and data.",SIGGRAPH,SIGGRAPH
Simulation of object and human skin formations in a grasping task.,SIGGRAPH,SIGGRAPH
Wireless integrated circuit for the acquisition of electrocorticogram signals.,ISCAS,ISCAS
Privacy nudges for social media: an exploratory Facebook study.,WWW,WWW
Secure continuous aggregation via sampling-based verification in wireless sensor networks.,INFOCOM,INFOCOM
On rigorous integration of piece-wise linear continuous systems.,ISCAS,VLDB
Visibly pushdown automata for streaming XML.,WWW,ISCAS
Video Multicast in (Large) Local Area Networks.,INFOCOM,INFOCOM
Process-insensitive modulated-clock voltage comparator.,ISCAS,ISCAS
An Efficient Prony's Method for Time-varying Power System Harmonic Estimation.,ISCAS,VLDB
A novel CAVLC architecture for H.264 Video encoding at high bit-rate.,ISCAS,ISCAS
Tongue visualization for specified speech task.,SIGGRAPH,SIGGRAPH
Smoother subsurface scattering.,SIGGRAPH,SIGGRAPH
Core-Stateless Guaranteed Rate Scheduling Algorithms.,INFOCOM,INFOCOM
A Novel Ray-space based Color Correction Algorithm for Multi-view Video.,ISCAS,SIGGRAPH
Visualizing tags over time.,WWW,WWW
Driver's drowsiness estimation by combining EEG signal analysis and ICA-based fuzzy neural networks.,ISCAS,ISCAS
Towards a programming language for services computing.,WWW,WWW
Practical routing-layer support for scalable multihoming.,INFOCOM,INFOCOM
MRsionCase: a glasses-free mixed reality showcase for surrounding multiple viewers.,SIGGRAPH,SIGGRAPH
An adaptive maximum power point tracker for maximising solar cell efficiency in wireless sensor nodes.,ISCAS,ISCAS
An All-digital Skew-adaptive Clock Scheduling Algorithm for Heterogeneous Multiprocessor Systems on Chips (MPSoCs).,ISCAS,ISCAS
"Interactive lighting of effects using point clouds in ""Bolt"".",SIGGRAPH,SIGGRAPH
Keep your friends close: Incorporating trust into social network-based Sybil defenses.,INFOCOM,INFOCOM
A Database Index to Large Biological Sequences.,VLDB,VLDB
Csurf: a context-driven non-visual web-browser.,WWW,WWW
Rejecting the attack: Source authentication for Wi-Fi management frames using CSI Information.,INFOCOM,INFOCOM
